user_id,Recency,Frequency,Monetary
88940739,18,55,169.56
89056866,34,21,91.67
89466654,72,3,26.35
91136858,37,50,155.47
92366748,99,27,98.18
92381432,8,12,160.16
92854689,43,3,10.799999999999999
93243034,39,20,30.82
93279832,72,44,140.51
93917710,43,12,64.87
94390236,114,3,29.2
95081970,10,8,89.67999999999999
95758554,11,30,528.15
96430126,48,9,28.49
96949890,9,2,41.25
97980555,33,14,91.6
98079173,71,14,31.43
98354430,99,12,56.199999999999996
98498013,35,4,9.52
99011711,63,4,32.86
99293243,4,25,185.84
99499363,8,18,94.53999999999999
99666343,74,1,4.0
99678913,138,3,9.36
99848331,41,15,81.43
100557945,8,5,18.990000000000002
100787781,106,10,43.86
101025416,73,11,62.1
101281763,91,4,39.900000000000006
101571486,39,6,40.35
101779631,32,11,41.449999999999996
102771868,20,6,69.53
103156342,49,12,71.43
103274988,29,21,96.97
103540490,124,3,34.13
103566871,97,20,81.84
104368191,120,4,22.07
104584175,138,2,16.75
104664738,115,13,35.09
104808268,48,31,125.97
105075440,68,9,41.38
105118203,25,34,212.15
105379623,81,6,20.080000000000002
105697630,11,118,501.35
106471075,40,21,302.46000000000004
107076265,23,6,47.93
107088121,136,13,12.01
107113173,138,5,45.19
107219040,37,1,34.05
107945915,0,163,479.0
108875256,32,3,20.78
109091597,110,58,263.71
109899387,103,2,28.950000000000003
109928361,137,5,16.03
110478711,146,1,18.89
110795472,18,1,19.03
111515411,110,5,25.86
111672982,68,2,32.06
111782974,89,4,11.39
112556049,87,2,17.3
113487654,113,8,58.67
113529092,140,7,25.07
113828158,66,2,16.51
114401397,26,15,99.96000000000001
114462217,79,3,12.39
114598339,75,15,43.48
115036271,99,17,85.96000000000001
115398528,32,60,554.7
115460314,114,4,20.53
115857713,129,3,29.41
116049280,40,21,59.74
116391305,19,4,45.870000000000005
116498266,112,1,13.33
117857805,137,3,12.54
117870795,31,10,55.43
118539394,89,19,77.26
118735467,110,21,82.64
118821435,95,93,411.71999999999997
118988445,49,6,22.11
119190618,98,22,41.49
119406840,98,1,41.41
119917559,139,15,52.38
120679988,4,2,14.27
120831073,43,1,1.9
121059288,15,7,42.07
121496884,85,34,111.77
121508783,97,37,133.98
122125743,91,8,41.55
122626605,36,11,19.540000000000003
122897605,113,12,50.68
123765602,41,5,9.58
124354517,44,27,194.35
124850942,83,27,237.70000000000002
125333572,32,24,101.57
125804082,51,3,18.65
126051562,48,71,349.24
126492008,106,4,23.799999999999997
126580575,89,9,42.55
127009474,34,6,32.85
127261957,101,27,73.78
127274675,13,59,168.85
127350130,74,8,56.49
127383794,90,24,127.7
127690568,95,6,83.39999999999999
128172267,36,6,44.910000000000004
128263123,110,10,35.8
128562720,151,5,15.559999999999999
129089988,120,1,47.59
129675214,57,9,41.17
129845309,33,3,73.89
129863522,113,8,25.29
130496744,119,5,49.11
131028611,129,2,10.64
131878551,109,2,6.49
131994138,78,26,93.69
132136725,147,8,27.36
132176314,143,11,43.59
132692896,4,68,203.1
133575160,12,1,9.52
134424129,107,6,30.15
134747658,45,3,28.57
135535592,33,8,20.64
136540093,74,3,14.36
137015634,54,9,45.050000000000004
137385912,19,12,90.91
137810775,136,3,13.4
140439288,148,9,29.0
140904065,92,2,27.810000000000002
140913335,25,36,192.16
141330451,116,6,16.47
141894282,104,17,48.48
142717569,12,82,334.3
144811207,127,5,10.88
144814405,86,10,32.46
145844909,79,3,23.41
145894216,93,4,42.32
146137902,49,18,47.6
146310893,63,19,59.61
146594787,93,10,40.28
146613395,106,11,38.160000000000004
146699059,22,44,350.65
147140434,125,7,43.76
147152600,138,18,48.33
147392796,77,7,58.730000000000004
147417144,89,5,12.38
147558947,27,19,69.94
147995998,9,11,33.18
148604608,1,2,5.0
148648103,47,23,80.88
149005745,48,26,105.36
149015329,114,2,8.49
149017750,64,17,84.53
149295616,40,2,7.140000000000001
149797702,54,13,115.94
149936015,106,30,231.13
149958406,78,11,48.47
150025339,114,13,81.05
150191214,145,10,37.14
150318419,0,370,3785.03
150673027,54,8,32.18
150768457,116,15,45.120000000000005
150908548,22,9,10.52
151045021,99,34,162.07
151188116,90,1,53.81
151229872,2,80,358.12
151411420,17,13,36.92
151651065,99,4,11.41
151745761,146,10,40.69
151747503,112,3,10.719999999999999
151783193,150,6,15.16
151909411,18,8,56.13
151971056,145,8,29.79
152013756,50,17,77.48
