user_id,recency,frequency,monetary
172483274,33,9,40.44
172503641,79,1,4.6
172645882,35,32,143.77
172692779,87,3,11.68
172974485,26,93,410.57
173017713,1,14,42.64
173017903,17,15,43.01
173022895,101,4,23.740000000000002
173367162,93,5,16.06
173514918,68,1,2.62
173521728,17,2,29.840000000000003
173623571,135,8,222.71
173697726,101,5,34.84
173797161,26,8,28.08
173803868,97,26,113.11
174005727,0,6,13.21
174313626,28,8,15.36
174382424,113,5,32.86
174425833,97,18,83.95
174440505,25,4,36.68
174462136,90,9,65.81
174980657,36,12,48.989999999999995
175143398,148,5,30.7
175273059,131,5,33.49
175573417,92,10,38.15
175705011,73,5,16.28
175706957,72,2,11.58
175907430,29,47,207.93
175919124,113,1,7.94
176064797,3,67,412.03
176234010,40,18,169.09
176646073,29,19,49.01
176653975,67,12,26.400000000000002
176693505,49,2,8.18
176862208,14,11,71.28
176971681,12,1,3.33
176992224,3,8,37.64
177282448,93,3,16.13
177289948,98,11,39.77
177390915,99,6,51.9
177791002,18,91,565.71
177935706,87,3,37.78
177935823,37,17,130.69
178071789,77,4,26.349999999999998
178120950,95,11,39.08
178177613,114,4,23.08
178180437,89,2,43.17
178186931,124,5,65.24000000000001
178330355,28,9,45.92
178855388,114,9,67.68
179006895,39,26,113.35
179573219,53,4,20.7
179754649,45,4,19.84
180221584,50,14,178.46
180273558,42,2,12.540000000000001
180638540,24,5,48.49
181122527,29,3,16.81
181247486,139,5,4.61
181487726,142,1,2.81
181592792,150,4,21.189999999999998
181678993,149,16,35.24
181936562,138,6,27.87
182639982,109,8,35.31
182641262,84,11,55.29
182869477,51,7,39.68
182990604,9,1,16.83
183128955,128,8,25.490000000000002
183412659,124,22,90.21000000000001
183425943,139,2,16.03
184032349,149,14,41.54
184080839,128,5,21.75
184175105,58,10,51.11
184386547,32,20,71.52
184746873,129,8,33.31
184878272,113,9,30.44
184954917,50,3,13.02
185624486,124,5,34.14
185694683,11,43,105.05
185769245,113,15,104.21
185841814,42,3,13.16
185889245,4,4,19.0
185929404,102,16,106.44
186020703,36,111,583.04
186407136,129,7,12.36
186631290,18,22,80.59
186742626,146,15,97.54
186859817,15,4,40.38
186980991,136,7,20.330000000000002
187082466,134,1,32.3
187129948,107,4,28.54
187485568,16,51,267.24
187565158,43,50,247.64999999999998
187579775,9,8,51.45
187676505,12,44,489.5
187697719,35,17,61.010000000000005
187803012,49,9,18.45
188054667,39,1,24.6
188215912,76,4,6.18
188317333,99,14,56.07
188544526,66,10,34.99
188553922,38,3,6.9399999999999995
188580638,31,9,21.7
188587908,65,21,73.44
188740654,13,45,178.65
188865635,145,1,13.97
189055424,114,4,8.4
189380898,46,2,11.51
189390340,22,1,16.35
189598484,128,3,15.79
189869989,100,3,17.46
189877842,130,11,23.240000000000002
189996859,74,12,70.32
190662861,20,20,169.31
190689705,40,1,14.29
190707972,144,3,7.550000000000001
190768170,128,1,68.24
190904720,91,16,40.239999999999995
190922002,24,10,58.57
190928039,70,6,24.11
191011024,80,7,21.18
191180790,78,4,24.92
191349816,92,45,153.16
191450624,97,3,55.47
191611368,52,31,227.73999999999998
191683805,119,9,23.95
192202061,90,3,22.24
192244414,18,6,21.630000000000003
192374468,111,4,9.969999999999999
192605792,2,8,18.39
192709765,4,60,315.81
192859532,92,14,55.47
192943709,36,5,41.9
193059829,2,41,217.44
193632929,32,3,20.48
193837623,97,11,37.92
194129364,3,58,278.35
194303792,149,23,72.28
194550111,134,7,51.209999999999994
194594335,131,1,9.52
194804840,120,5,39.91
194809352,97,12,204.58
195155373,114,1,29.05
195176258,134,12,59.57
195466357,149,4,25.64
195687127,125,4,25.95
195730373,99,3,4.82
195819725,72,4,55.22
195977975,43,8,34.42
196042408,0,76,879.46
196534801,119,2,9.82
196780785,56,5,28.89
196788871,91,3,6.609999999999999
196957742,128,1,4.13
197004660,5,30,117.78
197018379,93,4,17.619999999999997
197306873,39,11,27.2
197439968,82,24,108.55
197484335,99,7,22.520000000000003
197675843,24,25,83.59
197676114,47,1,2.37
197963355,80,1,13.65
198693729,4,5,20.63
198778103,1,81,283.37
198925986,98,3,21.71
199035228,23,2,28.729999999999997
199184254,36,22,67.28
199252367,46,2,30.8
199440233,103,5,15.46
199560729,149,6,41.010000000000005
199589068,78,5,16.740000000000002
199598006,12,40,153.22
199968318,97,4,15.86
200054936,44,20,66.11
200475143,141,1,4.14
200698039,51,99,663.91
200740139,83,8,27.38
200897375,30,7,18.48
201041972,54,7,27.42
201163822,87,12,102.50999999999999
201260370,3,5,23.48
201271139,19,49,240.33
201302301,34,4,54.92
201440000,23,7,43.64
201677976,123,1,18.89
201679349,18,10,46.26
201686069,40,2,12.93
201708690,123,5,13.55
201720695,90,5,25.32
201744074,10,36,248.88
201800755,62,5,12.35
201832575,0,50,331.90000000000003
201847759,16,27,168.71
201877138,133,3,48.160000000000004
201880274,124,3,67.89
201968865,108,4,37.769999999999996
201973945,130,18,59.11
201989382,33,5,39.93
202009202,102,21,165.89000000000001
202042139,142,11,46.2
202049973,126,11,47.83
202233709,0,52,159.71
202259440,11,20,95.39
202282189,32,23,119.8
202429735,38,7,38.1
202438687,105,11,33.25
202472817,6,45,235.81
202583750,137,4,41.730000000000004
202598045,40,24,154.64
202869789,31,23,136.37
202874168,101,25,58.800000000000004
203013955,13,4,39.53
203114329,34,30,112.78
203228583,69,2,11.4
203231372,55,15,41.33
203248000,138,21,92.88
203257482,93,6,12.14
203305249,100,10,51.72
203366328,18,17,117.06
203380073,114,1,25.0
203420748,91,7,27.58
203494177,117,2,35.94
203606839,121,7,75.55000000000001
203775604,43,1,19.52
